Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.50     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.50     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.50     0.00       10     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase_aux(std::_Rb_tree_const_iterator<int>)
  0.00      0.50     0.00       10     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node_base*, int const&)
  0.00      0.50     0.00       10     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::end()
  0.00      0.50     0.00       10     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::find(int const&)
  0.00      0.50     0.00       10     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<int>)
  0.00      0.50     0.00       10     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::find(int const&)
  0.00      0.50     0.00       10     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<int>)
  0.00      0.50     0.00       10     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.50     0.00       10     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.50     0.00       10     0.00     0.00  std::operator==(std::_Rb_tree_iterator<int> const&, std::_Rb_tree_iterator<int> const&)
  0.00      0.50     0.00        9     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.50     0.00        9     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.50     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::deallocate(std::multiset<int, std::less<int>, std::allocator<int> >*, unsigned long)
  0.00      0.50     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.00      0.50     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::new_allocator()
  0.00      0.50     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.50     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.50     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::max_size() const
  0.00      0.50     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.50     0.00        8     0.00     0.00  std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::allocator()
  0.00      0.50     0.00        8     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.50     0.00        8     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.50     0.00        8     0.00    11.45  void std::_Destroy_aux<false>::__destroy<std::multiset<int, std::less<int>, std::allocator<int> >*>(std::multiset<int, std::less<int>, std::allocator<int> >*, std::multiset<int, std::less<int>, std::allocator<int> >*)
  0.00      0.50     0.00        8     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_M_allocate(unsigned long)
  0.00      0.50     0.00        8     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_Vector_impl::_Vector_impl(std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > const&)
  0.00      0.50     0.00        8     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.50     0.00        8     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_M_deallocate(std::multiset<int, std::less<int>, std::allocator<int> >*, unsigned long)
  0.00      0.50     0.00        8     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_M_create_storage(unsigned long)
  0.00      0.50     0.00        8     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.50     0.00        8     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_Vector_base(unsigned long, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > const&)
  0.00      0.50     0.00        8     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::~_Vector_base()
  0.00      0.50     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::deallocate(std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > >&, std::multiset<int, std::less<int>, std::allocator<int> >*, unsigned long)
  0.00      0.50     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::allocate(std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > >&, unsigned long)
  0.00      0.50     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::max_size(std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > const&)
  0.00      0.50     0.00        8     0.00     0.10  std::multiset<int, std::less<int>, std::allocator<int> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::multiset<int, std::less<int>, std::allocator<int> >*, unsigned long>(std::multiset<int, std::less<int>, std::allocator<int> >*, unsigned long)
  0.00      0.50     0.00        8     0.00     0.00  std::vector<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_S_max_size(std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > const&)
  0.00      0.50     0.00        8     0.00     0.00  std::vector<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_S_check_init_len(unsigned long, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > const&)
